"현재 이름 순으로 데이터 정렬
애매하거나 자료 없는 것 : 그냥 빈칸",,,,,,,,,,,,,,,,,,,,,,,,,,,
,제품명,브랜드,용량,정가 숫자,판매가 숫자,판매처 수 숫자,사은품51,SPF,PA,피부타입,"제품타입(
튜브,펌프,팩트,
스프레이,스틱)",케릭터51,백탁 51,"톤 업,보정 51",미백 51,"보습,수분 51",한글 51,끈적임 51,유분기 51,유.무기자차,베이스겸용 51,특수물질 문자,잔여감 51,워터프루프 51,저자극 51,효과,특징
1,뉴트로지나 울트라쉬어 퓨어 마일드 선블럭,뉴트로지나,80,,590,5,,50,3,민감성,NA,,,,,,,,,,,,,,,피부톤보정,"자외선차단, 오일 프리"
2,끌레드벨 프리미엄 선블록 선 팩,끌레드벨,2.5,,620,61,,50,3,모든피부용,크림형,,1229,,,,,,,,,,,,,"수분공급, 피부보호, 피부진정",자외선차단
3,백옥생 핫스탑 유브이 선 블록,백옥생,70,,"1,200",1,,50,3,NA,튜브형,50,856,,,,,,,,,,,,,피부투명,워터프루프
4,지고트 브라이트닝 진주 선크림,지고트,70,,"1,300",134,,50,3,모든피부용,리퀴드형,45,41,,,,,,,,,,,,,"수분공급, 피부보호, 피부탄력, 피부톤보정, 피부투명","자외선차단, 발림성, 보습"
5,푸드어홀릭 멀티 선크림,푸드어홀릭,70,,"1,310",34,,50,3,NA,튜브형,40,43,,,,,,,,,,,,,"피부보호, 화이트닝","자외선차단, 지속력"
6,지고트 모이스춰라이징 스네일 선 크림,지고트,70,,"1,720",131,,50,3,모든피부용,튜브형,35,65,,,,,,,,,,,,,"수분공급, 윤기부여, 피부탄력","자외선차단, 저자극, 밀착력, 보습, 모이스춰라이징"
7,다보 톤 업 베이스 선 크림,다보,70,,"2,000",80,,50,3,NA,튜브형,30,78,,,,,,,,,,,,,피부보호,자외선차단
8,이켈 유브이 선블록 크림,이켈,70,,"2,060",6,,50,3,모든피부용,크림형,25,16,,,,,,,,,,,,,NA,자외선차단
9,다보 화이트 선 블럭 크림,다보,70,,"2,090",57,,50,3,민감성,크림형,20,4,,,,,,,,,,,,,수분공급,"워터프루프, 자외선차단"
10,3W클리닉 인텐시브 UV 선 블록 크림,3W클리닉,70,,"2,240",52,,50,3,NA,튜브형,15,7,,,,,,,,,,,,,피부보호,"자외선차단, 메이크업베이스 겸용"
11,백옥생 려희 골드 선 크림,백옥생,60,,"2,370",9,,50,3,NA,크림형,10,65,,,,,,,,,,,,,NA,"자외선차단, 주름개선"
12,백옥생 려희 프리미엄 선크림,백옥생,60,,"2,370",22,,50,3,NA,크림형,기타,54,,,,,,,,,,,,,NA,"자외선차단, 주름개선"
13,온더바디 페이스 앤 바디 퍼펙트 선 로션,온더바디,50,,"2,580",78,,50,3,NA,NA,,,,,,,,,,,,,,,피부보호,"자외선차단, 밀착력, 발림성"
14,라끄베르 UV 스킨 포스 선크림,라끄베르,70,,"2,620",207,,50,3,NA,크림형,,,,,,,,,,,,,,,"피부보호, 피지조절",자외선차단
15,다이소 에브리데이 톤업 선크림,다이소,65,,"2,680",8,,50,3,NA,크림형,,,,,,,,,,,,,,,피부보호,"자외선차단, 주름개선"
16,칼미아 퍼펙트 아웃도어 선 블록,칼미아,50,,"2,840",85,,50,3,NA,크림형,,,,,,,,,,,,,,,"수분공급, 피부보호, 피부진정, 백탁현상방지","워터프루프, 자외선차단"
17,더페이스샵 클린 페이스 오일 컨트롤 선크림,더페이스샵,50,,"3,050",111,,35,2,모든피부용,튜브형,,,,,,,,,,,,,,,"수분공급, 피부보호",NA
18,과일나라 헤리에타 퍼펙트 멀티 선크림,과일나라,90,,"3,200",267,,45,2,모든피부용,튜브형,,,,,,,,,,,,,,,"수분공급, 피부보호, 피부진정","자외선차단, 밀착력"
19,라끄베르 엔조이 션샤인 데일리 선블럭,라끄베르,50,,"3,230",7,,50,3,모든피부용,크림형,,,,,,,,,,,,,,,피부진정,자외선차단
20,엔프라니 데일리 선 블록,엔프라니,70,,"3,250",11,,50,3,모든피부용,크림형,,,,,,,,,,,,,,,피부보호,자외선차단
21,참존 UV 퍼펙트 아쿠아 선 크림,참존,50,,"3,590",2,,35,2,NA,크림형,,,,,,,,,,,,,,,NA,자외선차단
22,스킨푸드 토마토 선크림,스킨푸드,50,,"3,850",64,,36,2,모든피부용,튜브형,,,,,,,,,,,,,,,NA,자외선차단
23,어퓨 퓨어 블록 내추럴 워터프루프 선크림,어퓨,50,,"3,850",37,,50,3,NA,크림형,,,,,,,,,,,,,,,"피부보호, 피지조절","워터프루프, 자외선차단, 저자극, 발림성"
24,해피바스 마일드 선 크림,해피바스,70,,"3,860",128,,35,3,NA,튜브형,,,,,,,,,,,,,,,피부보호,"자외선차단, 저자극, 무광물유, 무동물성원료"
25,퍼펙트 선 선 워터,NA,40,,"3,890",26,,50,3,민감성,NA,,,,,,,,,,,,,,,"수분공급, 화이트닝","자외선차단, 주름개선"
26,마리끌레르 아로마씨드 힐링 선블록 - 티트리,마리끌레르,60,,"3,950",16,,50,3,"모든피부용, 지성",크림형,,,,,,,,,,,,,,,수분공급,"자외선차단, 저자극, 주름개선"
27,어퓨 퓨어 블록 마일드 플러스 선크림,어퓨,50,,"3,950",31,,32,2,NA,튜브형,,,,,,,,,,,,,,,NA,"자외선차단, 저자극"
28,과일나라 헤리에타 레포츠 디펜스 선크림,과일나라,70,,"4,000",140,,50,3,모든피부용,튜브형,,,,,,,,,,,,,,,피부보호,자외선차단
29,이니스프리 데일리 UV 프로텍션 크림 마일드,이니스프리,50,,"4,000",141,,35,2,모든피부용,튜브형,,,,,,,,,,,,,,,"수분공급, 피부보호, 피부진정",자외선차단
30,온더바디 내추럴 리프레쉬 선크림,온더바디,50,,"4,010",13,,50,3,NA,튜브형,,,,,,,,,,,,,,,"수분공급, 피부진정, 피부투명",자외선차단
31,A.H.C 퓨어 내추럴 메가 선쿠션,A.H.C,25,,"4,030",85,,50,3,NA,쿠션형,,,,,,,,,,,,,,,"수분공급, 영양공급, 피부보호, 피부진정","자외선차단, 저자극, 천연성분, 보습"
32,세타덤 하이 프로텍션 드라이 터치 선크림,NA,50,,"4,070",2,,50,3,NA,크림형,,,,,,,,,,,,,,,피부보호,"자외선차단, 보습"
33,어퓨 퓨어 블록 내추럴 데일리 선크림,어퓨,50,,"4,080",80,,45,3,NA,크림형,,,,,,,,,,,,,,,"수분공급, 생기부여, 피부보호, 피부진정, 피지조절, 백탁현상방지","자외선차단, 흡수력, 지속력, 밀착력"
34,과일나라 헤리에타 데일리 모이스처 선크림,과일나라,70,,"4,100",303,,50,3,"모든피부용, 민감성",튜브형,,,,,,,,,,,,,,,피부보호,"워터프루프, 자외선차단, 지속력"
35,어퓨 퓨어 블록 아쿠아 선 젤,어퓨,50,,"4,130",30,,50,3,NA,젤형,,,,,,,,,,,,,,,수분공급,"자외선차단, 흡수력"
36,한국화장품 산수유 고은결 진 선크림,한국화장품,70,,"4,210",141,,50,3,모든피부용,크림형,,,,,,,,,,,,,,,"영양공급, 피부보호","자외선차단, 주름개선"
37,더 슈뜨 퍼펙션 올 라잇 선크림,더슈뜨,80,,"4,280",5,,50,3,모든피부용,NA,,,,,,,,,,,,,,,NA,"자외선차단, 비타민 함유"
38,해피바스 퍼펙트 선크림,해피바스,80,,"4,360",239,,50,3,NA,크림형,,,,,,,,,,,,,,,피부보호,"워터프루프, 자외선차단, 지속력, 레포츠용"
39,네슈라 오뜨리 블럭 앤 블럭 오리지널 선크림,네슈라,80,,"4,380",140,,42,2,NA,튜브형,,,,,,,,,,,,,,,피부보호,"워터프루프, 자외선차단, 지속력"
40,어퓨 퓨어 블록 톤업 선 베이스,어퓨,50,,"4,400",16,,50,3,NA,튜브형,,,,,,,,,,,,,,,"생기부여, 피부보호, 화이트닝, 피지조절","자외선차단, 지속력, 밀착력"
41,스킨79 워터랩핑 논케미컬 선블럭,스킨79,50,,"4,460",19,,50,3,NA,크림형,,,,,,,,,,,,,,,백탁현상방지,"자외선차단, 저자극"
