"숫자
용량","숫자
판매가"
40,"24,334"
50,"13,190"
50,"13,900"
50,"13,400"
50,"13,400"
70,"2,030"
12,"21,900"
40,"21,110"
12,"19,900"
30,"68,070"
15,"20,000"
60,"10,880"
70,"4,110"
70,"4,000"
80,"4,450"
50,"12,600"
90,"14,630"
50,"12,600"
50,"9,400"
50,"17,880"
50,"52,800"
8,"46,900"
50,"7,300"
60,"1,215"
80,"9,900"
65,"24,300"
50,"12,590"
70,"5,170"
70,"6,300"
70,"5,490"
75,"79,050"
30,"89,990"
60,"33,430"
50,"13,950"
50,"15,400"
70,"23,750"
50,"27,740"
80,"4,380"
80,"5,560"
50,"24,990"
50,"22,800"
45,"21,600"
57,"8,250"
60,"10,120"
57,"11,360"
57,"4,860"
57,"15,110"
50,"11,290"
100,"15,760"
57,"14,390"
150,"11,880"
57,"14,390"
65,"15,190"
50,"22,800"
30,"24,000"
80,"21,000"
40,"22,520"
100,"23,700"
80,"9,290"
80,"10,510"
80,"9,500"
80,590
88,"10,930"
200,"13,260"
125,"7,340"
200,"9,350"
80,"16,370"
50,"9,790"
50,"5,940"
50,"5,930"
90,"6,200"
200,"10,130"
50,"24,270"
60,"12,530"
70,"6,390"
125,"18,910"
50,"19,000"
50,"22,530"
65,"2,680"
30,"40,130"
50,"25,500"
50,"17,640"
50,"19,760"
65,"29,900"
50,"14,500"
50,"28,990"
50,"14,500"
50,"33,420"
50,"24,870"
50,"24,110"
50,"35,150"
50,"33,830"
100,"13,860"
50,"14,200"
40,"13,780"
50,"22,190"
12,"33,390"
40,"24,870"
50,"21,380"
50,"14,260"
45,"17,990"
60,"19,570"
50,"15,820"
50,"16,500"
50,"19,200"
50,"13,840"
50,"23,750"
70,"15,550"
70,"17,200"
50,"43,480"
30,"50,180"
80,"4,280"
50,"32,000"
40,"14,780"
205,"12,370"
70,"22,050"
50,"14,000"
50,"4,820"
60,"24,480"
50,"7,900"
50,"14,370"
60,"32,400"
60,"35,530"
50,"8,000"
50,"1,232"
50,"8,500"
60,"5,690"
40,"11,250"
60,"6,490"
60,"13,290"
50,"12,600"
50,"5,700"
30,"17,900"
30,"9,000"
50,"16,710"
60,"9,770"
30,"11,870"
50,"6,740"
50,"7,500"
120,"6,720"
15,"1,236"
50,"14,900"
50,"4,630"
150,"6,450"
100,"8,880"
100,"9,990"
13.5,"6,690"
50,"8,070"
80,"11,400"
80,"10,990"
50,"9,000"
45,"6,170"
50,"12,840"
50,"20,460"
50,"7,160"
50,"11,280"
50,"9,910"
45,"6,200"
100,"11,860"
50,"6,970"
50,"8,160"
55,"9,500"
100,"9,600"
50,"12,500"
50,"3,050"
50,"5,310"
60,"7,890"
200,"21,480"
50,"21,380"
40,"13,800"
45,"34,130"
45,"39,600"
60,"26,610"
45,"30,470"
50,"38,790"
50,"4,900"
15,"10,800"
50,"19,400"
60,"14,900"
50,"7,460"
70,"13,660"
50,"20,000"
50,"35,390"
50,"14,000"
50,"38,990"
30,"40,400"
50,"15,990"
50,"16,080"
50,"10,800"
50,"38,000"
50,"38,000"
70,"28,000"
70,"13,900"
50,"39,900"
50,"52,000"
15,"8,860"
50,"14,390"
50,"21,510"
50,"22,400"
50,"6,070"
120,"5,120"
50,"5,150"
50,"3,230"
70,"2,620"
50,"10,950"
10,"9,170"
50,"12,710"
50,"13,710"
70,"26,970"
50,"18,000"
50,"13,480"
60,"23,990"
50,"13,790"
50,"28,000"
9,"17,700"
50,"28,800"
30,"17,600"
30,"18,500"
30,"20,390"
30,"18,300"
50,"26,980"
50,"10,900"
50,"34,300"
100,"10,960"
50,"27,940"
70,"18,990"
50,"17,650"
50,"9,000"
50,"20,000"
50,"13,800"
100,"37,210"
30,"56,110"
50,"44,590"
50,"41,900"
30,"44,000"
50,"66,690"
30,"51,100"
50,"53,900"
50,"55,080"
50,"17,860"
50,"5,900"
50,"10,250"
100,"10,060"
50,"8,000"
50,"8,950"
50,"42,750"
50,"38,600"
15,"28,900"
100,"33,420"
75,"34,160"
30,"12,700"
30,"12,800"
30,"15,920"
30,"12,600"
40,"9,900"
40,"23,360"
80,"21,340"
30,"42,480"
50,"25,000"
50,"18,900"
50,"14,990"
60,"20,890"
60,"8,873"
50,"23,020"
50,"32,990"
50,"40,500"
70,"29,040"
50,"7,920"
50,"10,340"
70,"16,140"
70,"16,500"
50,"17,890"
50,"45,120"
90,"17,000"
80,"12,820"
50,"30,000"
50,"24,470"
45,"23,600"
50,"31,020"
70,"19,400"
30,"10,000"
80,"26,040"
50,"17,780"
50,"23,100"
50,"28,360"
50,"22,310"
50,"50,990"
50,"40,000"
60,"3,950"
70,"11,960"
70,"12,870"
70,"13,010"
50,"7,680"
70,"6,120"
70,"17,570"
70,"16,830"
40,"7,990"
40,"9,790"
50,"6,500"
35,"7,110"
40,"6,620"
50,"14,810"
50,"40,000"
100,"40,000"
40,"33,740"
100,"13,500"
30,"37,490"
50,"5,600"
40,"12,460"
50,"20,090"
60,"14,800"
60,"29,650"
60,"7,650"
118,"16,970"
118,"29,600"
59,"19,900"
29,"39,400"
29,"40,000"
75,"20,060"
70,"14,890"
200,"22,400"
30,"10,900"
50,"15,740"
50,"15,000"
50,"39,000"
50,"29,640"
50,"29,800"
50,"22,287"
50,"23,000"
50,"35,530"
50,"52,550"
50,"35,000"
50,"30,000"
50,"32,100"
80,"17,280"
50,"13,150"
90,"8,900"
90,"37,000"
90,"8,820"
30,"17,900"
30,"15,600"
70,"9,800"
40,"12,800"
40,"17,710"
60,"18,000"
100,"56,000"
50,"13,300"
50,"23,590"
15,"15,370"
60,"2,370"
70,"8,960"
60,"2,370"
70,"1,200"
60,"17,920"
100,"12,710"
45,"34,410"
50,"7,250"
60,"7,380"
50,"11,430"
50,"11,870"
50,"11,250"
40,"14,090"
70,"7,840"
15,"9,029"
50,"10,000"
50,"10,500"
50,"21,840"
50,"35,530"
50,"36,100"
60,"9,260"
35,"14,760"
70,"4,970"
50,"18,820"
50,"8,900"
50,"8,935"
50,"8,455"
50,"18,000"
50,"9,350"
50,"18,000"
50,"18,000"
50,"28,000"
40,"42,980"
120,"67,450"
50,"26,000"
50,"19,250"
50,"19,250"
300,"18,390"
50,"15,760"
100,"36,500"
40,"40,000"
60,"39,000"
30,"11,690"
50,"11,800"
50,"11,800"
33,"17,500"
100,"15,000"
200,"28,900"
