"","name","price","type","effect","volume","SPF","PA","skin_type","character","brand","sell"
"1","디오메르 데일리 선크림","28,000","크림형",NA,"70ml(g)","SPF50","PA+++","모든피부용","자외선차단","디오메르","1"
"2","차앤박 톤업 프로텍션 선크림","11,840","크림형","수분공급, 피부보호","50ml(g)","SPF42","PA+++","모든피부용","자외선차단"," 차앤박","145"
"3","나인위시스 썬 모이스처라이저","15,400","크림형",NA,"50ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선"," 나인위시스","3"
"4","시드물 울트라 페이셜 썬크림","9,900","크림형",NA,"80ml(g)","SPF37","PA++",NA,"자외선차단"," 시드물","2"
"5","블랙아웃 유브이 컷오프 무자극 선크림","28,000","크림형","수분공급, 피부보호, 피부진정","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단, 주름개선"," 블랙아웃","1"
"6","헤라 선 메이트 데일리","18,090","크림형","수분공급, 피부보호","70ml(g)","35","PA+++",NA,"자외선차단, 메이크업베이스 겸용","헤라","681"
"7","닥터지 브라이트닝 업 선 ","16,100","크림형","윤기부여, 피부보호, 피부유연, 피부톤보정, 피부투명, 피부강화, 피지조절","50ml(g)","50","PA+++","모든피부용","자외선차단, 저자극, 지속력, 밀착력","닥터지","74"
"8","칼미아 퍼펙트 아웃도어 선 블록","2,840","크림형","수분공급, 피부보호, 피부진정, 백탁현상방지","50ml(g)","SPF50+","PA+++",NA,"워터프루프, 자외선차단"," 칼미아","85"
"9","마일드 포뮬라 데일리 선스크린","14,500",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"10","이고 선센스 주니어 롤온","9,980",NA,"피부보호","50ml(g)","SPF50+","PA+++",NA,"자외선차단",NA,"7"
"11","아모레퍼시픽 슈퍼푸드 오트 마일드 모이스처 선크림","6,480","크림형","영양공급","40ml(g)","SPF50+","PA+++",NA,"자외선차단, 보습","아모레퍼시픽","57"
"12","싸이닉 생기 통업 썬크림","9,900","크림형","수분공급, 피부보호, 피부진정, 피부탄력","50ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," 싸이닉","3"
"13","바랑소리 톤업 선크림 보담도담 해오를 가리개","9,800","크림형","피부보호","70ml(g)","SPF50","PA+++","모든피부용","자외선차단"," 바랑소리","2"
"14","에스쁘아 워터 스플래쉬 선크림 AD","12,600","크림형","수분공급, 피부보호","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단","에스쁘아","7"
"15","셀라피 아기토닝 UV 데일리 선케어","24,500","크림형","백탁현상방지","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단, 주름개선"," 셀라피","29"
"16","비오레 아쿠아 리치 워터리 선크림","11,800","크림형",NA,"50ml(g)","SPF50+","PA++++",NA,"자외선차단"," 비오레","4"
"17","아로마티카 칼렌듈라 논나노 유브이 프로텍션 엔센티드","10,890","크림형",NA,"70ml(g)","SPF30","PA+++",NA,"자외선차단, 저자극","아로마티카","26"
"18","뉴스킨 선라이트 데일리 페이스","22,300","크림형","피부진정","40ml(g)","SPF50+","PA++++","모든피부용","자외선차단, 보습"," 뉴스킨","12"
"19","어퓨 퓨어 블록 내추럴 데일리 선크림","7,110","크림형",NA,"100ml(g)","SPF45","PA+++",NA,"자외선차단"," 어퓨","24"
"20","메이크프렘 유브이 디펜스 미 블루 레이 선크림","14,890","크림형","피부보호, 백탁현상방지","70ml(g)","SPF50+","PA++++",NA,"자외선차단"," 메이크프렘","26"
"21","아이오페 UV쉴드 선 톤업 베이스","17,280","크림형","피부보호","60ml(g)","SPF50+","PA+++",NA,"자외선차단"," 아이오페","15"
"22","헤라 선 메이트 레포츠","18,690","크림형","수분공급, 피부보호, 피부진정","70ml(g)","50","PA++++",NA,"워터프루프, 자외선차단, 지속력, 발림성, 쿨링감, 레포츠용","헤라","363"
"23","이자녹스 UV 선프로 365 데일리","14,520","크림형","피부보호","70ml(g)","SPF50+","PA+++",NA,"자외선차단","이자녹스","21"
"24","헬리오케어 360 플루이드 크림","26,400","크림형",NA,"50ml(g)","SPF50+",NA,NA,"자외선차단","헬리오케어","31"
"25","닥터지 모이스트 업 선","17,390","크림형","수분공급, 백탁현상방지","50ml(g)","SPF50+","PA++++","모든피부용","자외선차단, 주름개선","닥터지","38"
"26","제로이드 뉴마일드 선크림","32,000","크림형","피부보호","70ml(g)","SPF32","PA+++",NA,"자외선차단, 보습"," 제로이드","4"
"27","라로슈포제 유비데아 XL 멜트인 내츄럴 크림","17,600","크림형","수분공급, 윤기부여, 피부보호, 피부투명, 백탁현상방지","30ml(g)","50","PA+++","건성","자외선차단, 지속력, 메이크업베이스 겸용","라로슈포제","57"
"28","나인위시스 썬 모이스처라이저","14,950","크림형","수분공급, 피부보호, 피부진정, 백탁현상방지","50ml(g)","SPF50+","PA+++",NA,"자외선차단, 주름개선"," 나인위시스","8"
"29","헤라 선 메이트 엑설런스","28,410","크림형","피부보호","40ml(g)","SPF50+","PA++++",NA,"자외선차단, 주름개선","헤라","50"
"30","토니모리 마이 써니 올인원 선","8,180","크림형","수분공급, 영양공급","80ml(g)","SPF45","PA+++","모든피부용","자외선차단, 보습"," 토니모리","43"
"31","오르자드 디크리닉 아쿠아 샤이닝 선블록","25,000","크림형",NA,"60ml(g)","SPF50+","PA+++",NA,"자외선차단"," 오르자드","1"
"32","가온도담 청순 무기자차 BB선쿠션","19,610",NA,NA,"12ml(g)","SPF35","PA+++",NA,"자외선차단","가온도담","9"
"33","라로슈포제 유비데아 XL 틴티드 크림","18,300","크림형","수분공급, 피부진정, 백탁현상방지","30ml(g)","50","PA+++",NA,"자외선차단, 저자극, 지속력, 무인공향, 메이크업베이스 겸용","라로슈포제","40"
"34","에코팩토리 무기자차 순한 자연 선크림","9,000","크림형","수분공급, 영양공급, 피부보호","50ml(g)","SPF35","PA+++",NA,"자외선차단, 주름개선"," 에코팩토리","1"
"35","싸이닉 엔조이 올라운드 선 스틱","17,700","스틱형","피부보호","25ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," 싸이닉","6"
"36","스위스킨 워터홀딩 선 스크린","16,330","크림형","피부보호","50ml(g)","SPF50+","PA++++",NA,"자외선차단"," 스위스킨","18"
"37","이니스프리 트루케어 논나노 논코메도 무기자차 선크림","13,640","크림형","수분공급, 피부보호","50ml(g)","SPF48","PA+++","모든피부용","자외선차단","이니스프리","22"
"38","어퓨 퓨어 블록 내추럴 데일리 선크림","4,080","크림형","수분공급, 생기부여, 피부보호, 피부진정, 피지조절, 백탁현상방지","50ml(g)","45","PA+++",NA,"자외선차단, 흡수력, 지속력, 밀착력"," 어퓨","80"
"39","아토팜 리얼 베리어 톤업 선블록","14,000","튜브형","수분공급, 생기부여, 피부보호, 피부진정","40ml(g)","50","PA++++",NA,"자외선차단","아토팜","52"
"40","아크웰 더마일드 프레시 선 컨트롤 에센스","12,000","크림형","피부진정, 피지조절, 백탁현상방지","50ml(g)","SPF50+","PA++++",NA,"자외선차단"," 아크웰","24"
"41","닥터지 그린 마일드 업 선 ","14,260","크림형","수분공급, 피부보호","50ml(g)","50","PA++++","민감성","자외선차단, 저자극, 미네랄 함유","닥터지","56"
"42","비욘드 오 마이 선크림","9,750","크림형","피부보호","50ml(g)","SPF50+","PA+++",NA,"자외선차단","비욘드","25"
"43","데쌍브르 EGF 워터드롭 썬크림","19,400","크림형",NA,"50ml(g)","SPF40","PA++",NA,"자외선차단","데쌍브르","2"
"44","싸이닉 엔조이 쿨링 바디 썬보틀","10,480",NA,"피부진정","120ml(g)","SPF50+","PA++++",NA,"자외선차단","싸이닉","21"
"45","셀퓨전씨 레이저 선스크린","22,430","크림형","피부활력, 피부보호, 피부탄력","50ml(g)","50","PA+++","모든피부용","자외선차단, 저자극, 밀착력","셀퓨전씨","52"
"46","클랍 임문 선 페이스 프로텍션 크림","14,000","크림형","수분공급, 영양공급","50ml(g)","SPF30",NA,"모든피부용","자외선차단","클랍","13"
"47","아이오페 UV 쉴드 선 프로텍터 EX ","15,900","크림형","수분공급, 피부보호, 피부진정","60ml(g)","50","PA++++","모든피부용","자외선차단","아이오페","275"
"48","헤라 선 메이트 스틱","15,000","스틱형","피부보호","18ml(g)","SPF50+","PA++++",NA,"자외선차단","헤라","24"
"49","르네셀 컴플리트 레이어 썬블럭","32,990","크림형","피부보호","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 르네셀","11"
"50","이니스프리 아쿠아 UV 프로텍션 크림 워터드롭","9,000","크림형","수분공급","50ml(g)","SPF50+","PA++++",NA,"자외선차단","이니스프리","91"
"51","본트리 허브 에센셜 선크림","8,935","크림형","피부보호","50ml(g)","SPF50+","PA+++",NA,"자외선차단, 저자극, 주름개선"," 본트리","20"
"52","코스알엑스 알로에 수딩 선 크림","10,280","크림형","피부보호, 피부진정","50ml(g)","SPF50+","PA+++","모든피부용","자외선차단"," 코스알엑스","20"
"53","라노아 선바이 선크림","13,790","크림형","피부보호, 백탁현상방지","50ml(g)","SPF50+","PA+++","모든피부용","워터프루프, 자외선차단, 주름개선","라노아","6"
"54","크리스챤디올 유브이 쉴드 브라이트닝 플루이드 피니쉬","57,820","크림형",NA,"30ml(g)","SPF50+","PA++++","모든피부용","자외선차단","크리스챤디올","15"
"55","시세이도 센카 퍼펙트 UV 밀크","8,900","크림형","수분공급, 피부보호, 백탁현상방지","40ml(g)","SPF50+","PA++++","모든피부용","워터프루프, 자외선차단"," 시세이도","13"
"56","에스쁘아 워터 스플래쉬 선크림","19,320","크림형","수분공급, 피부보호, 피부진정","100ml(g)","SPF50+","PA+++","모든피부용","자외선차단","에스쁘아","5"
"57","마몽드 카렌듈라 에브리데이 선 크림","6,500","크림형","수분공급, 윤기부여, 피부보호, 피부유연, 피부탄력","50ml(g)","50","PA+++",NA,"자외선차단, 주름개선","마몽드","252"
"58","아이오페 UV 쉴드 선 프로텍터","14,160","크림형","피부보호, 피부진정","60ml(g)","50","PA++++",NA,"자외선차단, 흡수력","아이오페","216"
"59","오휘 퍼펙트 선 프로 레드","27,000","크림형",NA,"80ml(g)","SPF50+","PA++++",NA,"주름개선"," 오휘","1"
"60","시세이도 센카 퍼펙트 UV 젤","9,100","크림형","수분공급, 피부보호, 백탁현상방지","80ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," 시세이도","12"
"61","어퓨 파워블록 데일리 선크림","4,890","크림형","피부진정","50ml(g)","SPF50+","PA++++","모든피부용","자외선차단"," 어퓨","32"
